tract,NAME,pop19,white19,income19,rent19,bachplus19,state,county,GEOID
080601,"Census Tract 806.01, Suffolk County, Massachusetts",4022,3434,17594,624,0.20907617504051865,25,025,25025080601
080801,"Census Tract 808.01, Suffolk County, Massachusetts",4679,2976,20500,596,0.138003136434919,25,025,25025080801
081001,"Census Tract 810.01, Suffolk County, Massachusetts",5005,3917,31917,1314,0.40748663101604277,25,025,25025081001
090901,"Census Tract 909.01, Suffolk County, Massachusetts",3653,2426,25662,2017,0.5647321428571429,25,025,25025090901
091001,"Census Tract 910.01, Suffolk County, Massachusetts",2821,2695,94896,1594,0.6201943388255176,25,025,25025091001
092101,"Census Tract 921.01, Suffolk County, Massachusetts",7321,6560,56149,1460,0.2500902853015529,25,025,25025092101
100603,"Census Tract 1006.03, Suffolk County, Massachusetts",1912,1876,90893,1540,0.5117139334155364,25,025,25025100603
110103,"Census Tract 1101.03, Suffolk County, Massachusetts",6812,5504,87214,1665,0.5036027263875366,25,025,25025110103
110201,"Census Tract 1102.01, Suffolk County, Massachusetts",2534,1655,45250,1115,0.2519402985074627,25,025,25025110201
110301,"Census Tract 1103.01, Suffolk County, Massachusetts",2656,1923,69563,1623,0.42355889724310775,25,025,25025110301
110403,"Census Tract 1104.03, Suffolk County, Massachusetts",4881,3660,100833,1620,0.5180412371134021,25,025,25025110403
120103,"Census Tract 1201.03, Suffolk County, Massachusetts",1852,1714,160341,2196,0.869098712446352,25,025,25025120103
120105,"Census Tract 1201.05, Suffolk County, Massachusetts",2696,2577,161473,2750,0.7779596290234588,25,025,25025120105
120201,"Census Tract 1202.01, Suffolk County, Massachusetts",3991,2963,84321,1666,0.6524390243902439,25,025,25025120201
110607,"Census Tract 1106.07, Suffolk County, Massachusetts",5675,5117,106222,1896,0.6526853084775854,25,025,25025110607
120104,"Census Tract 1201.04, Suffolk County, Massachusetts",2335,2103,100977,1850,0.772489539748954,25,025,25025120104
120301,"Census Tract 1203.01, Suffolk County, Massachusetts",5326,3492,94362,1951,0.6030927835051546,25,025,25025120301
130404,"Census Tract 1304.04, Suffolk County, Massachusetts",3394,2920,69798,1720,0.3390018484288355,25,025,25025130404
170702,"Census Tract 1707.02, Suffolk County, Massachusetts",5798,2858,54375,1469,0.16806526806526806,25,025,25025170702
180101,"Census Tract 1801.01, Suffolk County, Massachusetts",4992,4380,51953,1389,0.3428006915287725,25,025,25025180101
180301,"Census Tract 1803.01, Suffolk County, Massachusetts",2864,2729,86118,1514,0.5341614906832298,25,025,25025180301
980101,"Census Tract 9801.01, Suffolk County, Massachusetts",457,326,-666666666,-666666666,0.11659192825112108,25,025,25025980101
980300,"Census Tract 9803, Suffolk County, Massachusetts",380,290,-666666666,-666666666,0.02046783625730994,25,025,25025980300
980700,"Census Tract 9807, Suffolk County, Massachusetts",0,0,-666666666,-666666666,,25,025,25025980700
981000,"Census Tract 9810, Suffolk County, Massachusetts",0,0,-666666666,-666666666,,25,025,25025981000
981100,"Census Tract 9811, Suffolk County, Massachusetts",442,298,44808,1601,0.176056338028169,25,025,25025981100
981201,"Census Tract 9812.01, Suffolk County, Massachusetts",0,0,-666666666,-666666666,,25,025,25025981201
981202,"Census Tract 9812.02, Suffolk County, Massachusetts",241,232,-666666666,-666666666,0.6338028169014085,25,025,25025981202
981300,"Census Tract 9813, Suffolk County, Massachusetts",413,320,128000,2294,0.7382920110192838,25,025,25025981300
