GEOID,income,rent,pct_white,high_ed,gent_index
250250402002,5.0,5.0,4.0,4.0,18.0
250250403001,,5.0,1.0,5.0,
250250403002,3.0,2.0,2.0,3.0,10.0
250250403003,2.0,2.0,3.0,2.0,9.0
250250403004,2.0,1.0,3.0,3.0,9.0
250250403005,4.0,4.0,2.0,1.0,11.0
250250404011,5.0,4.0,3.0,4.0,16.0
250250404012,3.0,3.0,3.0,3.0,12.0
250250406001,3.0,3.0,3.0,4.0,13.0
250250406002,2.0,4.0,4.0,3.0,13.0
250250408011,2.0,4.0,1.0,5.0,12.0
250250408012,1.0,2.0,5.0,5.0,13.0
250250408013,4.0,3.0,5.0,3.0,15.0
250250501011,3.0,4.0,5.0,5.0,17.0
250250501012,2.0,1.0,3.0,5.0,11.0
250250501013,2.0,3.0,2.0,2.0,9.0
250250502001,3.0,4.0,3.0,5.0,15.0
250250502002,2.0,5.0,1.0,4.0,12.0
250250502003,2.0,2.0,5.0,3.0,12.0
250250502004,2.0,4.0,1.0,5.0,12.0
250250503001,5.0,5.0,5.0,5.0,20.0
250250503002,3.0,3.0,3.0,3.0,12.0
250250504001,3.0,3.0,5.0,5.0,16.0
250250504002,3.0,3.0,5.0,4.0,15.0
250250505001,3.0,5.0,5.0,5.0,18.0
250250506001,5.0,3.0,5.0,5.0,18.0
250250506002,4.0,5.0,5.0,5.0,19.0
250250507001,4.0,4.0,1.0,1.0,10.0
250250507002,2.0,4.0,5.0,5.0,16.0
250250507003,,5.0,5.0,5.0,
250250509011,2.0,4.0,5.0,5.0,16.0
250250509012,2.0,4.0,5.0,5.0,16.0
250250509013,2.0,2.0,1.0,1.0,6.0
250250510001,1.0,3.0,3.0,4.0,11.0
250250510002,1.0,1.0,1.0,2.0,5.0
250250510003,4.0,4.0,5.0,5.0,18.0
250250511011,4.0,5.0,1.0,3.0,13.0
250250511012,5.0,5.0,4.0,4.0,18.0
250250511013,4.0,3.0,1.0,1.0,9.0
250250511014,1.0,3.0,1.0,1.0,6.0
250250512001,,,2.0,5.0,
250250512002,4.0,4.0,4.0,4.0,16.0
250250512003,2.0,2.0,4.0,4.0,12.0
250250601011,4.0,4.0,3.0,3.0,14.0
250250601012,2.0,5.0,4.0,3.0,14.0
250250601013,2.0,2.0,3.0,3.0,10.0
250250601014,4.0,4.0,5.0,4.0,17.0
250250602001,4.0,5.0,3.0,4.0,16.0
250250602002,4.0,3.0,3.0,3.0,13.0
250250603011,5.0,3.0,2.0,4.0,14.0
250250603012,2.0,5.0,4.0,4.0,15.0
250250603013,5.0,5.0,3.0,3.0,16.0
250250604001,4.0,4.0,4.0,4.0,16.0
250250604002,3.0,1.0,4.0,2.0,10.0
250250604003,2.0,5.0,3.0,2.0,12.0
250250604004,5.0,5.0,2.0,5.0,17.0
250250604005,3.0,5.0,4.0,3.0,15.0
250250605011,3.0,1.0,2.0,3.0,9.0
250250605012,5.0,2.0,4.0,2.0,13.0
250250605013,5.0,2.0,2.0,3.0,12.0
250250605014,,5.0,3.0,1.0,
250250605015,4.0,1.0,5.0,3.0,13.0
250250606001,4.0,5.0,3.0,2.0,14.0
250250607001,5.0,3.0,2.0,1.0,11.0
250250607002,1.0,1.0,1.0,1.0,4.0
250250608001,5.0,1.0,3.0,3.0,12.0
250250608002,4.0,5.0,3.0,4.0,16.0
250250608003,3.0,1.0,3.0,2.0,9.0
250250608004,3.0,3.0,2.0,3.0,11.0
250250610001,4.0,4.0,2.0,3.0,13.0
250250610002,4.0,4.0,1.0,1.0,10.0
250250610003,2.0,1.0,5.0,1.0,9.0
250250611011,4.0,5.0,4.0,5.0,18.0
250250611012,1.0,2.0,4.0,5.0,12.0
250250612001,4.0,4.0,4.0,3.0,15.0
250250612002,5.0,5.0,1.0,5.0,16.0
250250612003,4.0,3.0,3.0,2.0,12.0
250250701011,2.0,5.0,2.0,3.0,12.0
250250701012,,,4.0,5.0,
250250701013,1.0,,4.0,1.0,
250250701014,1.0,2.0,3.0,1.0,7.0
250250701015,1.0,,1.0,2.0,
250250701016,,5.0,1.0,2.0,
250250701017,5.0,3.0,4.0,1.0,13.0
250250701018,1.0,5.0,3.0,3.0,12.0
250250702001,5.0,4.0,4.0,4.0,17.0
250250702002,1.0,1.0,3.0,3.0,8.0
250250702003,5.0,5.0,3.0,5.0,18.0
250250703001,,2.0,2.0,2.0,
250250703002,2.0,2.0,3.0,3.0,10.0
250250703003,5.0,1.0,4.0,3.0,13.0
250250703004,2.0,4.0,3.0,2.0,11.0
250250704021,5.0,5.0,3.0,5.0,18.0
250250705001,3.0,3.0,3.0,3.0,12.0
250250705002,1.0,,4.0,1.0,
250250705003,1.0,,1.0,1.0,
250250705004,,1.0,3.0,1.0,
250250706001,4.0,3.0,3.0,2.0,12.0
250250706002,4.0,5.0,3.0,2.0,14.0
250250707001,4.0,4.0,2.0,3.0,13.0
250250707002,4.0,4.0,4.0,2.0,14.0
250250708001,,5.0,2.0,2.0,
250250708002,2.0,4.0,4.0,3.0,13.0
250250708003,1.0,4.0,2.0,1.0,8.0
250250709001,,1.0,2.0,1.0,
250250709002,1.0,1.0,5.0,5.0,12.0
250250711011,5.0,,5.0,1.0,
250250711012,2.0,3.0,4.0,2.0,11.0
250250711013,1.0,2.0,4.0,2.0,9.0
250250712011,3.0,4.0,4.0,3.0,14.0
250250712012,1.0,2.0,1.0,2.0,6.0
250250801001,3.0,3.0,2.0,5.0,13.0
250250801002,1.0,1.0,1.0,1.0,4.0
250250803001,5.0,1.0,4.0,4.0,14.0
250250804011,1.0,1.0,3.0,2.0,7.0
250250804012,2.0,2.0,1.0,1.0,6.0
250250805001,4.0,,5.0,3.0,
250250805002,3.0,3.0,5.0,5.0,16.0
250250806011,2.0,2.0,3.0,4.0,11.0
250250806012,1.0,3.0,5.0,5.0,14.0
250250806013,2.0,1.0,5.0,1.0,9.0
250250808011,1.0,2.0,2.0,4.0,9.0
250250808012,2.0,1.0,1.0,3.0,7.0
250250809001,3.0,5.0,2.0,2.0,12.0
250250809002,3.0,3.0,2.0,4.0,12.0
250250809003,4.0,3.0,2.0,5.0,14.0
250250810011,,2.0,5.0,3.0,
250250810012,5.0,4.0,1.0,3.0,13.0
250250810013,1.0,3.0,3.0,1.0,8.0
250250810014,4.0,4.0,2.0,5.0,15.0
250250811001,1.0,1.0,4.0,3.0,9.0
250250811002,1.0,1.0,4.0,2.0,8.0
250250811003,2.0,3.0,3.0,3.0,11.0
250250812001,3.0,2.0,3.0,3.0,11.0
250250812002,2.0,1.0,5.0,4.0,12.0
250250813001,1.0,2.0,5.0,5.0,13.0
250250813002,,,2.0,5.0,
250250813003,1.0,1.0,4.0,4.0,10.0
250250814001,3.0,4.0,5.0,4.0,16.0
250250814002,2.0,5.0,4.0,1.0,12.0
250250814003,4.0,4.0,2.0,2.0,12.0
250250815001,2.0,1.0,5.0,1.0,9.0
250250815002,3.0,1.0,2.0,1.0,7.0
250250817001,1.0,1.0,1.0,1.0,4.0
250250817002,5.0,4.0,2.0,5.0,16.0
250250817003,2.0,1.0,1.0,1.0,5.0
250250817004,4.0,5.0,1.0,5.0,15.0
250250817005,2.0,5.0,4.0,4.0,15.0
250250818001,1.0,,2.0,4.0,
250250818002,5.0,1.0,2.0,3.0,11.0
250250818003,1.0,2.0,1.0,1.0,5.0
250250819001,1.0,2.0,5.0,1.0,9.0
250250819002,1.0,1.0,2.0,5.0,9.0
250250819003,,5.0,5.0,1.0,
250250819004,5.0,5.0,1.0,4.0,15.0
250250820001,5.0,1.0,1.0,5.0,12.0
250250820002,5.0,1.0,5.0,5.0,16.0
250250820003,4.0,5.0,1.0,1.0,11.0
250250821001,,4.0,1.0,1.0,
250250821002,,4.0,5.0,4.0,
250250821003,3.0,5.0,5.0,1.0,14.0
250250901001,3.0,3.0,2.0,5.0,13.0
250250901002,1.0,3.0,1.0,4.0,9.0
250250901003,1.0,1.0,3.0,1.0,6.0
250250901004,3.0,4.0,1.0,4.0,12.0
250250901005,2.0,1.0,3.0,5.0,11.0
250250902001,2.0,2.0,5.0,1.0,10.0
250250902002,1.0,,2.0,5.0,
250250902003,1.0,2.0,5.0,4.0,12.0
250250903001,3.0,1.0,5.0,1.0,10.0
250250903002,1.0,1.0,1.0,5.0,8.0
250250903003,5.0,5.0,1.0,4.0,15.0
250250904001,4.0,1.0,3.0,1.0,9.0
250250904002,,1.0,2.0,4.0,
250250904003,1.0,5.0,1.0,1.0,8.0
250250904004,4.0,3.0,1.0,4.0,12.0
250250906001,2.0,3.0,3.0,2.0,10.0
250250906002,3.0,3.0,3.0,4.0,13.0
250250907001,5.0,5.0,5.0,4.0,19.0
250250907002,5.0,5.0,4.0,4.0,18.0
250250907003,,1.0,2.0,1.0,
250250907004,,3.0,5.0,5.0,
250250909011,3.0,5.0,1.0,2.0,11.0
250250909012,1.0,2.0,3.0,2.0,8.0
250250910011,,4.0,3.0,5.0,
250250910012,,5.0,4.0,2.0,
250250910013,5.0,2.0,2.0,1.0,10.0
250250910014,2.0,2.0,2.0,4.0,10.0
250250911001,4.0,4.0,2.0,4.0,14.0
250250911002,5.0,3.0,5.0,2.0,15.0
250250911003,1.0,5.0,2.0,4.0,12.0
250250911004,1.0,4.0,4.0,4.0,13.0
250250911005,5.0,5.0,3.0,1.0,14.0
250250912001,2.0,1.0,5.0,1.0,9.0
250250912002,2.0,3.0,2.0,5.0,12.0
250250912003,5.0,2.0,5.0,5.0,17.0
250250913001,3.0,1.0,5.0,3.0,12.0
250250913002,2.0,5.0,2.0,1.0,10.0
250250914001,2.0,1.0,1.0,3.0,7.0
250250914002,5.0,2.0,5.0,1.0,13.0
250250915001,2.0,1.0,1.0,4.0,8.0
250250915002,4.0,3.0,3.0,2.0,12.0
250250915003,1.0,2.0,1.0,5.0,9.0
250250916001,3.0,1.0,1.0,4.0,9.0
250250916002,,2.0,5.0,5.0,
250250916003,3.0,5.0,4.0,5.0,17.0
250250917001,2.0,1.0,4.0,4.0,11.0
250250917002,1.0,2.0,5.0,2.0,10.0
250250917003,1.0,2.0,4.0,5.0,12.0
250250918001,,2.0,1.0,5.0,
250250918002,,5.0,5.0,1.0,
250250918003,1.0,1.0,3.0,1.0,6.0
250250919001,1.0,3.0,1.0,5.0,10.0
250250919002,4.0,3.0,3.0,2.0,12.0
250250919003,5.0,3.0,1.0,3.0,12.0
250250919004,1.0,1.0,1.0,1.0,4.0
250250920001,4.0,2.0,1.0,5.0,12.0
250250920002,3.0,1.0,5.0,3.0,12.0
250250920003,4.0,5.0,5.0,3.0,17.0
250250920004,1.0,1.0,2.0,5.0,9.0
250250921011,1.0,1.0,4.0,5.0,11.0
250250921012,,2.0,1.0,5.0,
250250921013,4.0,5.0,5.0,3.0,17.0
250250921014,1.0,4.0,1.0,2.0,8.0
250250921015,3.0,2.0,4.0,5.0,14.0
