,GEOID,ALAND,AWATER,geometry,income,rent,pct_white,high_ed,gent_index(w/race),gent_index(norace),low_inc
0,250251008004,759043,172944,"POLYGON ((235770.2331392998 891415.8179814124, 236006.46737034403 891550.7586222789, 236318.31909498264 892088.748764212, 236167.50492686164 892399.0967407675, 236300.76029420743 892454.3215640143, 236379.62141221392 892484.7195498025, 236414.05288679313 892270.5202246495, 236730.12908341433 892303.153593609, 236809.51933669252 892043.2054516331, 236848.07983821467 891988.5355754376, 236660.52268602885 891715.4188053613, 236805.91922277905 891343.739166446, 236119.44008348061 890835.8962049938, 235911.8758798589 890995.6720164275, 235877.5497653436 891223.4250910964, 235652.9140792051 891304.146406969, 235626.32627565955 891260.0255942494, 235635.70654604438 891395.1416706236, 235770.2331392998 891415.8179814124))",2.0,4.0,1.0,4.0,11.0,10.0,0
1,250251007002,602923,146231,"POLYGON ((236908.30228253984 892364.7337823962, 237263.4380655057 892481.1256871531, 237313.9358755247 892415.4139048142, 237362.65331493254 892902.5209219549, 237596.19059223562 892986.9615261435, 237689.12621640303 892928.2549829212, 237802.25437368633 892872.5461347505, 238015.82831973716 892712.7470151784, 237998.36083546118 892694.1028537445, 237900.44279556698 892482.4180940251, 237811.98313793013 892059.8514105798, 237714.5839713074 891948.696498627, 237542.02316461768 891854.9137460743, 237134.94490806817 892056.4675013219, 236848.07983821467 891988.5355754376, 236809.51933669252 892043.2054516331, 236730.12908341433 892303.153593609, 236908.30228253984 892364.7337823962))",1.0,1.0,3.0,4.0,9.0,6.0,0
2,250251007005,121300,0,"POLYGON ((236516.02674808516 892536.2992425535, 236576.90165055604 892551.4997212961, 236643.2748712543 892556.1771014829, 236832.4017523356 892588.266143579, 236908.30228253984 892364.7337823962, 236730.12908341433 892303.153593609, 236414.05288679313 892270.5202246495, 236379.62141221392 892484.7195498025, 236516.02674808516 892536.2992425535))",5.0,4.0,5.0,5.0,19.0,14.0,0
3,250251008006,191319,0,"POLYGON ((235934.51733033545 892894.3033540394, 235981.23599529229 892919.4232830938, 236009.66636216786 892843.5924487847, 236150.82783702083 892883.6375086727, 236196.18497700102 892756.4660226889, 236300.76029420743 892454.3215640143, 236167.50492686164 892399.0967407675, 235804.417065752 892252.6181275896, 235895.56279071473 892705.2745204817, 235934.51733033545 892894.3033540394))",3.0,1.0,3.0,4.0,11.0,8.0,0
4,250251007003,186092,0,"POLYGON ((236999.07819623596 892623.0190854099, 237051.96957616942 892791.2451511221, 237362.65331493254 892902.5209219549, 237313.9358755247 892415.4139048142, 237263.4380655057 892481.1256871531, 236908.30228253984 892364.7337823962, 236832.4017523356 892588.266143579, 236999.07819623596 892623.0190854099))",5.0,5.0,3.0,4.0,17.0,14.0,0
5,250251008003,136800,0,"POLYGON ((236474.12110528548 892855.4267107862, 236704.90750649682 892884.5072806875, 236620.83261449827 892589.272105543, 236576.90165055604 892551.4997212961, 236516.02674808516 892536.2992425535, 236379.62141221392 892484.7195498025, 236300.76029420743 892454.3215640143, 236196.18497700102 892756.4660226889, 236474.12110528548 892855.4267107862))",5.0,5.0,3.0,4.0,17.0,14.0,0
6,250251007004,134429,0,"POLYGON ((236704.90750649682 892884.5072806875, 236738.61396148047 893000.2028323747, 236963.92912057467 893033.4842759249, 237051.96957616942 892791.2451511221, 236999.07819623596 892623.0190854099, 236832.4017523356 892588.266143579, 236643.2748712543 892556.1771014829, 236576.90165055604 892551.4997212961, 236620.83261449827 892589.272105543, 236704.90750649682 892884.5072806875))",3.0,1.0,3.0,2.0,9.0,6.0,0
7,250251008002,136910,0,"POLYGON ((236526.88652391138 893018.2054402162, 236478.73736010084 893094.4873341821, 236441.36717592672 893080.2980012405, 236401.31741415677 893201.3862438737, 236641.80272718897 893282.1656321404, 236671.69268437897 893180.5752292405, 236738.61396148047 893000.2028323747, 236704.90750649682 892884.5072806875, 236474.12110528548 892855.4267107862, 236196.18497700102 892756.4660226889, 236150.82783702083 892883.6375086727, 236526.88652391138 893018.2054402162))",2.0,1.0,2.0,1.0,6.0,4.0,0
8,250251008001,121560,0,"POLYGON ((235975.3137772661 893093.6720133908, 236247.59254604217 893184.1531161198, 236401.31741415677 893201.3862438737, 236441.36717592672 893080.2980012405, 236478.73736010084 893094.4873341821, 236526.88652391138 893018.2054402162, 236150.82783702083 892883.6375086727, 236009.66636216786 892843.5924487847, 235981.23599529229 892919.4232830938, 235934.51733033545 892894.3033540394, 235948.83124482672 892966.1318891516, 235975.3137772661 893093.6720133908))",5.0,,3.0,5.0,,,1
9,250251007001,166370,0,"POLYGON ((236934.17346812555 893281.3620379011, 236990.64497019435 893301.3193318866, 237164.7618771123 893157.6153078394, 237236.37910006562 892949.5032506267, 237596.19059223562 892986.9615261435, 237362.65331493254 892902.5209219549, 237051.96957616942 892791.2451511221, 236963.92912057467 893033.4842759249, 236738.61396148047 893000.2028323747, 236671.69268437897 893180.5752292405, 236934.17346812555 893281.3620379011))",4.0,1.0,3.0,4.0,12.0,9.0,0
