GEOID,pop,white,income,rent,totaled,bachelors,masters,professional,doctorate
250251101035,1655,1532,133636,2137,1346,438,480,15,94
250251101032,659,383,45370,1542,396,107,55,0,31
250250603011,1452,1275,130645,1469,1237,564,233,26,25
250259813001,0,0,-666666666,-666666666,0,0,0,0,0
250259815011,0,0,-666666666,-666666666,0,0,0,0,0
250250804012,1600,743,14915,592,888,44,70,21,9
250250711011,1689,1607,74755,-666666666,1462,389,189,265,32
250251401071,1978,1276,88625,1058,1436,269,232,15,25
250251304042,742,718,101957,1835,617,226,81,47,33
250251707012,1455,967,58864,1410,1122,215,134,9,0
250250102033,1786,1592,68750,2015,1500,571,194,155,224
250250102034,730,468,56566,1901,648,205,71,15,69
250251104033,574,445,118125,1676,402,100,78,0,23
250250301002,959,917,124444,1816,763,300,304,29,26
250250006023,1646,1304,20490,651,1273,206,145,80,54
250250821001,855,362,-666666666,484,571,16,2,0,0
250250821003,2423,1885,23364,585,2065,257,38,68,11
250250602001,871,838,149261,2487,703,395,121,20,6
250250904003,947,528,29000,1185,462,75,16,0,0
250250904002,1799,1168,-666666666,683,1268,156,56,11,0
250250904001,843,505,48889,639,541,23,10,0,10
250250809003,657,602,87277,2425,238,67,68,51,40
250250809001,1469,1337,58125,2553,1216,426,192,142,100
250250814002,601,525,49773,1854,312,51,16,19,9
250250814001,826,736,45221,1337,645,160,40,0,56
250250818002,977,767,44293,541,665,74,32,25,19
250250818001,1260,732,22015,-666666666,793,83,71,10,16
250250608001,683,683,136818,1983,623,285,216,0,23
250250702001,1102,1099,36615,1556,787,181,126,42,17
250250702003,3295,3122,38258,835,1564,343,179,116,60
250250702002,976,976,20427,484,658,55,40,33,0
250250820002,680,623,48693,685,438,102,22,0,9
250250820001,1654,1377,65335,1175,1054,305,124,11,0
250250820003,1087,572,37554,1284,620,72,32,0,0
250250706002,1294,1246,186250,3066,1048,378,407,148,32
250250706001,1197,1098,129750,2364,977,492,177,111,19
250250813001,1473,864,17391,560,1167,337,0,0,0
250250813003,1602,705,13811,445,955,120,69,19,16
250250813002,1810,1151,-666666666,-666666666,1423,255,33,0,0
250250819001,1181,927,36071,1144,862,144,4,23,0
250250819002,874,549,16419,810,603,156,52,0,0
250250819003,470,466,-666666666,1106,162,17,0,0,16
250250819004,1179,584,27214,1082,688,56,40,31,0
250250911002,953,922,82900,1691,726,289,102,20,11
250250911001,1792,1564,97969,1989,1382,443,173,56,21
250250911005,598,576,96106,1970,495,155,21,0,0
250251004002,1423,951,-666666666,2550,929,135,129,0,0
250251004001,2072,1735,-666666666,1105,1191,171,162,0,0
250250003022,1879,1647,95388,2336,1368,475,297,30,247
250250007015,1836,1540,83681,2093,1401,655,393,65,55
250250007014,675,645,54911,1688,507,100,216,17,20
250250105002,1107,923,-666666666,2359,767,297,213,16,68
