tract,NAME,pop14,white14,income14,rent14,state,county,GEOID
081400,"Census Tract 814, Suffolk County, Massachusetts",2919,2542,43688,1261,25,025,25025081400
081800,"Census Tract 818, Suffolk County, Massachusetts",3200,2361,25852,987,25,025,25025081800
090300,"Census Tract 903, Suffolk County, Massachusetts",3648,2664,24271,697,25,025,25025090300
092300,"Census Tract 923, Suffolk County, Massachusetts",3376,3045,36917,1146,25,025,25025092300
160400,"Census Tract 1604, Suffolk County, Massachusetts",2838,881,38429,995,25,025,25025160400
160200,"Census Tract 1602, Suffolk County, Massachusetts",4126,703,52268,1186,25,025,25025160200
170400,"Census Tract 1704, Suffolk County, Massachusetts",5497,4039,47642,1191,25,025,25025170400
000502,"Census Tract 5.02, Suffolk County, Massachusetts",5585,5082,36667,1538,25,025,25025000502
040600,"Census Tract 406, Suffolk County, Massachusetts",2870,2768,136875,1438,25,025,25025040600
051200,"Census Tract 512, Suffolk County, Massachusetts",2582,1703,61016,1193,25,025,25025051200
060800,"Census Tract 608, Suffolk County, Massachusetts",4532,4519,90761,1470,25,025,25025060800
070200,"Census Tract 702, Suffolk County, Massachusetts",5460,5286,19532,891,25,025,25025070200
082000,"Census Tract 820, Suffolk County, Massachusetts",2719,2323,26276,824,25,025,25025082000
070600,"Census Tract 706, Suffolk County, Massachusetts",2377,2327,105391,1919,25,025,25025070600
081300,"Census Tract 813, Suffolk County, Massachusetts",5568,3078,21634,522,25,025,25025081300
081900,"Census Tract 819, Suffolk County, Massachusetts",3142,2236,30985,943,25,025,25025081900
091100,"Census Tract 911, Suffolk County, Massachusetts",5300,4971,61506,1313,25,025,25025091100
100400,"Census Tract 1004, Suffolk County, Massachusetts",4803,4389,52485,1288,25,025,25025100400
000302,"Census Tract 3.02, Suffolk County, Massachusetts",2673,2618,70362,1710,25,025,25025000302
000701,"Census Tract 7.01, Suffolk County, Massachusetts",3461,3113,40565,1354,25,025,25025000701
000503,"Census Tract 5.03, Suffolk County, Massachusetts",1903,1798,44167,1681,25,025,25025000503
000504,"Census Tract 5.04, Suffolk County, Massachusetts",4223,3888,35962,1456,25,025,25025000504
000703,"Census Tract 7.03, Suffolk County, Massachusetts",2247,2075,21219,1384,25,025,25025000703
000704,"Census Tract 7.04, Suffolk County, Massachusetts",4305,3837,49417,1420,25,025,25025000704
000803,"Census Tract 8.03, Suffolk County, Massachusetts",6108,5465,31683,1861,25,025,25025000803
010103,"Census Tract 101.03, Suffolk County, Massachusetts",3704,3387,28690,1380,25,025,25025010103
010104,"Census Tract 101.04, Suffolk County, Massachusetts",4686,4178,47204,1613,25,025,25025010104
010204,"Census Tract 102.04, Suffolk County, Massachusetts",3265,3092,29821,1515,25,025,25025010204
070700,"Census Tract 707, Suffolk County, Massachusetts",2987,2787,76765,1168,25,025,25025070700
010500,"Census Tract 105, Suffolk County, Massachusetts",3312,2995,40771,2001,25,025,25025010500
030400,"Census Tract 304, Suffolk County, Massachusetts",2588,2522,67367,1533,25,025,25025030400
050500,"Census Tract 505, Suffolk County, Massachusetts",2201,901,47869,1190,25,025,25025050500
081200,"Census Tract 812, Suffolk County, Massachusetts",3528,1807,20741,404,25,025,25025081200
081700,"Census Tract 817, Suffolk County, Massachusetts",3437,2805,27787,684,25,025,25025081700
091900,"Census Tract 919, Suffolk County, Massachusetts",3893,3277,39464,1233,25,025,25025091900
100200,"Census Tract 1002, Suffolk County, Massachusetts",2953,2617,36762,1366,25,025,25025100200
101002,"Census Tract 1010.02, Suffolk County, Massachusetts",4801,3560,27715,1028,25,025,25025101002
110502,"Census Tract 1105.02, Suffolk County, Massachusetts",4224,3365,77083,1262,25,025,25025110502
110601,"Census Tract 1106.01, Suffolk County, Massachusetts",2875,2768,95556,1362,25,025,25025110601
130402,"Census Tract 1304.02, Suffolk County, Massachusetts",5110,4766,71875,1390,25,025,25025130402
140400,"Census Tract 1404, Suffolk County, Massachusetts",8748,7334,58690,1209,25,025,25025140400
000201,"Census Tract 2.01, Suffolk County, Massachusetts",3073,2765,65446,1690,25,025,25025000201
000100,"Census Tract 1, Suffolk County, Massachusetts",3264,2561,53015,1633,25,025,25025000100
000202,"Census Tract 2.02, Suffolk County, Massachusetts",3482,2932,52083,1444,25,025,25025000202
