tract,NAME,pop19,white19,income19,rent19,state,county,GEOID
040200,"Census Tract 402, Suffolk County, Massachusetts",1975,1543,65500,861,25,025,25025040200
050200,"Census Tract 502, Suffolk County, Massachusetts",5713,1856,60739,1547,25,025,25025050200
050300,"Census Tract 503, Suffolk County, Massachusetts",2803,1609,26842,693,25,025,25025050300
050600,"Census Tract 506, Suffolk County, Massachusetts",2481,924,67841,1482,25,025,25025050600
070300,"Census Tract 703, Suffolk County, Massachusetts",4450,4137,115887,1608,25,025,25025070300
070500,"Census Tract 705, Suffolk County, Massachusetts",5843,4566,62717,894,25,025,25025070500
070800,"Census Tract 708, Suffolk County, Massachusetts",3597,3222,94653,2394,25,025,25025070800
010103,"Census Tract 101.03, Suffolk County, Massachusetts",3686,3107,32464,1800,25,025,25025010103
010104,"Census Tract 101.04, Suffolk County, Massachusetts",5004,4572,58750,2041,25,025,25025010104
010204,"Census Tract 102.04, Suffolk County, Massachusetts",3810,3496,41667,1876,25,025,25025010204
010404,"Census Tract 104.04, Suffolk County, Massachusetts",5135,4683,26875,1894,25,025,25025010404
010405,"Census Tract 104.05, Suffolk County, Massachusetts",6008,5273,19000,669,25,025,25025010405
010203,"Census Tract 102.03, Suffolk County, Massachusetts",5596,4725,41544,2109,25,025,25025010203
010408,"Census Tract 104.08, Suffolk County, Massachusetts",1497,1308,66389,1994,25,025,25025010408
010701,"Census Tract 107.01, Suffolk County, Massachusetts",2383,2145,117875,2004,25,025,25025010701
010403,"Census Tract 104.03, Suffolk County, Massachusetts",2753,2303,31071,1894,25,025,25025010403
010702,"Census Tract 107.02, Suffolk County, Massachusetts",2579,2427,163938,2482,25,025,25025010702
010801,"Census Tract 108.01, Suffolk County, Massachusetts",3002,2810,123594,2200,25,025,25025010801
010802,"Census Tract 108.02, Suffolk County, Massachusetts",3238,2880,131518,2198,25,025,25025010802
020101,"Census Tract 201.01, Suffolk County, Massachusetts",4975,4669,118250,2435,25,025,25025020101
020301,"Census Tract 203.01, Suffolk County, Massachusetts",2130,1748,76563,2497,25,025,25025020301
020302,"Census Tract 203.02, Suffolk County, Massachusetts",1089,1028,145625,2338,25,025,25025020302
040600,"Census Tract 406, Suffolk County, Massachusetts",3395,3262,142563,2434,25,025,25025040600
051200,"Census Tract 512, Suffolk County, Massachusetts",3033,2050,83952,1676,25,025,25025051200
060800,"Census Tract 608, Suffolk County, Massachusetts",4694,4436,124545,1898,25,025,25025060800
070200,"Census Tract 702, Suffolk County, Massachusetts",5373,5197,28646,869,25,025,25025070200
082000,"Census Tract 820, Suffolk County, Massachusetts",3421,2572,43077,1137,25,025,25025082000
070600,"Census Tract 706, Suffolk County, Massachusetts",2491,2344,160750,2698,25,025,25025070600
081300,"Census Tract 813, Suffolk County, Massachusetts",4885,2720,16226,536,25,025,25025081300
081900,"Census Tract 819, Suffolk County, Massachusetts",3704,2526,27745,1014,25,025,25025081900
091100,"Census Tract 911, Suffolk County, Massachusetts",4818,4398,84972,1847,25,025,25025091100
100400,"Census Tract 1004, Suffolk County, Massachusetts",6040,4575,68194,1545,25,025,25025100400
000302,"Census Tract 3.02, Suffolk County, Massachusetts",3447,3073,101958,2235,25,025,25025000302
000701,"Census Tract 7.01, Suffolk County, Massachusetts",4368,3913,67181,1833,25,025,25025000701
010500,"Census Tract 105, Suffolk County, Massachusetts",3413,2805,54278,2120,25,025,25025010500
030400,"Census Tract 304, Suffolk County, Massachusetts",2336,2186,100281,1903,25,025,25025030400
050500,"Census Tract 505, Suffolk County, Massachusetts",2278,1035,58910,1748,25,025,25025050500
070700,"Census Tract 707, Suffolk County, Massachusetts",2676,2445,134085,1969,25,025,25025070700
081200,"Census Tract 812, Suffolk County, Massachusetts",3712,2096,24854,466,25,025,25025081200
081700,"Census Tract 817, Suffolk County, Massachusetts",3990,2889,32183,905,25,025,25025081700
